title,licensee,release
Sesame Street: ABC/123,Hi-Tech,November 1991
Sesame Street: Big Bird's Hide & Speak,Hi-Tech,October 1990
Sesame Street: Countdown,Hi-Tech,February 1992
Shadow of the Ninja,Natsume,December 1990
Shadowgate Seika,December,1989
Shatterhand,Jaleco,December 1991
Shingen the Ruler,Hot-B,June 1990
Shooting Range,Bandai,June 1989
Short Order/Eggsplode,Nintendo,December 1989
Side Pocket,Data East,June 1987
Silent Service,Ultra Soft,December 1989
Silkworm,American Sammy,June 1990
Silver Surfer,Virgin Interactive,November 1990
"Simpsons: Bart vs. the Space Mutants, The",Acclaim,February 1991
"Simpsons: Bart vs. the World, The",Acclaim,December 1991
"Simpsons: Bartman Meets Radioactive Man, The",Acclaim,December 1992
Skate Or Die,Ultra Soft,December 1988
Skate Or Die 2,EA Sports,September 1990
Ski Or Die,Ultra Soft,February 1991
Sky Kid,Sunsoft,September 1987
Sky Shark,Taito Software,September 1989
Slalom,Nintendo,August 1987
Smash T.V.,Acclaim,September 1991
Snake Rattle 'n Roll,Nintendo,July 1990
Snake's Revenge: Metal Gear II,Ultra Soft,April 1990
Snoopy's Silly Sports Spectacular,Seika,April 1990
Snow Brothers,Capcom,November 1991
Soccer,Nintendo,March 1987
Solar Jetman: Hunt for the Golden Warship,Tradewest,September 1990
Solomon's Key,Tecmo,July 1987
Solstice,Sony Imagesoft,June 1990
Space Shuttle Project,Absolute,November 1991
Spelunker,Broderbund,September 1987
Spider-Man: Return of the Sinister Six,LJN,October 1992
Spot,Virgin Interactive,September 1990
Spy Hunter,Sunsoft,September 1987
Spy vs. Spy,Seika,October 1988
Sqoon,Irem,September 1987
Stack-Up,Nintendo,October 1985
Stadium Events,Bandai,September 1987
Stanley and the Search for Dr. Livingston,Electro Brain,October 1992
Star Force,Tecmo,November 1987
Star Soldier,Taxan,January 1989
Star Trek,Ultra Soft,February 1992
Star Trek: The Next Generation,Absolute,September 1993
Star Voyager,Acclaim,September 1987
Star Wars,JVC,November 1991
Starship Hector,Hudson Soft,June 1990
StarTropics Nintendo,December,1990
Stealth ATF,Activision,October 1989
Stinger,Konami,September 1987
Street Cop,Bandai,June 1989
Street Fighter 2010: The Final Fight,Capcom,September 1990
Strider,Capcom,July 1989
Super C,Konami,April 1990
Super Cars,Electro Brain,February 1991
Super Dodge Ball,Sony Imagesoft,June 1989
Super Glove Ball,Mattel Inc.,October 1990
Super Jeopardy!,Gametek,September 1991
Super Mario Bros.,Nintendo,October 1985
Super Mario Bros. 2,Nintendo,October 1988
Super Mario Bros. 3,Nintendo,February 1990
Super Pitfall,Activision,November 1987
Super Spike V'Ball,Nintendo,February 1990
Super Spy Hunter,Sunsoft,February 1992
Super Team Games,Nintendo,November 1988
Superman,Seika,December 1988
Swamp Thing,THQ,December 1992
Sword Master,Activision,January 1992
Swords and Serpents,Acclaim,August 1990
Taboo: The Sixth Sense,Tradewest,April 1989
Tag Team Wrestling,Data East,October 1986
Tale Spin,Capcom,December 1991
Target: Renegade,Taito Software,March 1990
Tecmo Baseball,Tecmo,January 1989
Tecmo Bowl,Tecmo,February 1989
Tecmo NBA Basketball,Tecmo,November 1992
Tecmo Super Bowl,Tecmo,December 1991
Tecmo World Cup Soccer,Tecmo,September 1992
Tecmo World Wrestling,Tecmo,April 1990
Teenage Mutant Ninja Turtles,Ultra Soft,June 1989
Teenage Mutant Ninja Turtles II: The Arcade Game,Ultra Soft,December 1990
Teenage Mutant Ninja Turtles III: The Manhattan Project,Ultra Soft,February 1992
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,February 1994
Tennis,Nintendo,October 1985
Terminator 2: Judgment Day,Acclaim,February 1992
"Terminator, The",Mindscape,December 1992
